HOUSEID,PERSONID,VARSTRAT,WTPERFIN,SFWGT,HH_HISP,HH_RACE,DRVRCNT,HHFAMINC,HHSIZE,HHVEHCNT,NUMADLT,WRKCOUNT,FLAG100,LIF_CYC,CNTTDTR,BORNINUS,CARRODE,CDIVMSAR,CENSUS_D,CENSUS_R,CONDNIGH,CONDPUB,CONDRIDE,CONDRIVE,CONDSPEC,CONDTAX,CONDTRAV,DELIVER,DIARY,DISTTOSC,DRIVER,DTACDT,DTCONJ,DTCOST,DTRAGE,DTRAN,DTWALK,EDUC,EVERDROV,FLEXTIME,FMSCSIZE,FRSTHM,FXDWKPL,GCDWORK,GRADE,GT1JBLWK,HHRESP,HHSTATE,HHSTFIPS,ISSUE,OCCAT,LSTTRDAY,MCUSED,MEDCOND,MEDCOND6,MOROFTEN,MSACAT,MSASIZE,NBIKETRP,NWALKTRP,OUTCNTRY,OUTOFTWN,PAYPROF,PRMACT,PROXY,PTUSED,PURCHASE,R_AGE,R_RELAT,R_SEX,RAIL,SAMEPLC,SCHCARE,SCHCRIM,SCHDIST,SCHSPD,SCHTRAF,SCHTRN1,SCHTRN2,SCHTYP,SCHWTHR,SELF_EMP,TIMETOSC,TIMETOWK,TOSCSIZE,TRAVDAY,URBAN,URBANSIZE,URBRUR,USEINTST,USEPUBTR,WEBUSE,WKFMHMXX,WKFTPT,WKRMHM,WKSTFIPS,WORKER,WRKTIME,WRKTRANS,YEARMILE,YRMLCAP,YRTOUS,DISTTOWK,TDAYDATE,HOMEOWN,HOMETYPE,HBHUR,HTRESDN,HTHTNRNT,HTPPOPDN,HTEEMPDN,HBRESDN,HBHTNRNT,HBPPOPDN,HH_CBSA,HHC_MSA
20000017,01,48,186.76896007,0,02,01,2,18,3,3,3,1,01,10,5,01,-1,33,03,02,02,02,01,01,02,02,02,-1,01,-1,01,-1,-1,03,-1,-1,-1,03,-1,-1,-1,01,-1,-1,-1,-1,02,IN,18,04,-1,-1,-1,01,02,-1,03,03,0,3,-1,-1,02,06,01,0,0,75,02,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,04,04,06,02,01,02,01,-1,-1,-1,-1,02,-1,-1,12500,02,-1,-1,200904,01,01,TC,300,5,300,75,300,5,300,XXXXX,XXXX
20000017,02,48,190.65615469,0,02,01,2,18,3,3,3,1,01,10,8,01,-1,33,03,02,-1,-1,-1,-1,-1,-1,-1,1,01,-1,01,-1,-1,03,-1,-1,-1,03,-1,-1,-1,01,-1,0,-1,02,02,IN,18,04,02,-1,-1,02,-1,-1,03,03,0,0,-1,-1,01,07,01,1,1,58,01,02,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,02,-1,-1,-1,04,04,06,02,01,02,01,-1,01,-1,18,01,-1,-1,15000,02,-1,-1,200904,01,01,TC,300,5,300,75,300,5,300,XXXXX,XXXX
20000017,03,48,200.91409876,0,02,01,2,18,3,3,3,1,01,10,0,01,-1,33,03,02,02,01,01,01,02,02,01,-1,02,-1,02,-1,-1,-1,-1,-1,-1,03,01,-1,-1,02,-1,-1,-1,-1,02,IN,18,-1,-1,2,-1,01,03,-1,03,03,0,0,-1,02,02,07,02,2,-1,83,04,02,02,01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,04,04,06,02,-1,-1,05,-1,-1,-1,-1,02,-1,-1,-1,-1,-1,-1,200904,01,01,TC,300,5,300,75,300,5,300,XXXXX,XXXX
20000231,01,61,1432.5629385,0,01,01,1,08,1,1,1,1,01,01,5,02,1,73,07,03,-1,-1,-1,-1,-1,-1,-1,2,01,-1,01,-1,-1,-1,-1,03,-1,03,-1,02,-1,01,-1,3.8666750857,-1,02,01,TX,48,02,01,-1,-1,02,-1,-1,03,03,0,3,-1,-1,-1,01,01,-9,2,26,01,02,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,02,-1,12,-1,04,01,03,01,02,02,01,-1,01,02,48,01,10:00AM,01,10000,02,1982,5,200812,01,02,S,1500,30,3000,1500,1500,5,3000,XXXXX,XXXX
20000521,01,59,322.51623593,0,01,01,2,06,2,2,2,1,01,10,4,01,1,73,07,03,-1,-1,-1,-1,-1,-1,-1,2,01,-1,01,-1,-1,03,-1,-1,-1,04,-1,02,-1,01,-1,8.7037354861,-1,02,01,TX,48,04,04,-1,-1,02,-1,-1,03,03,0,0,-1,-1,-1,01,01,1,5,59,01,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,02,-1,25,-1,01,01,03,01,02,02,01,-1,01,02,48,01,07:00AM,01,7000,02,-1,12,200902,01,01,U,1500,30,3000,3000,3000,20,7000,XXXXX,XXXX
20000521,02,59,363.18216991,0,01,01,2,06,2,2,2,1,01,10,2,01,-1,73,07,03,-1,-1,-1,-1,-1,-1,-1,-1,01,-1,01,-1,-1,-1,-1,-1,-1,01,-1,-1,-1,01,-1,-1,-1,-1,01,TX,48,-1,-1,-1,-1,02,-1,-1,03,03,0,0,-1,-1,02,06,02,0,-1,80,04,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,01,01,03,01,02,02,05,-1,-1,-1,-1,02,-1,-1,-8,-1,-1,-1,200902,01,01,U,1500,30,3000,3000,3000,20,7000,XXXXX,XXXX
20001283,01,26,1770.1402398,0,02,02,1,03,1,0,1,0,01,09,4,01,-1,21,02,01,-1,-1,-1,-1,-1,-1,-1,-1,02,-1,01,-1,-1,01,-1,-1,-1,03,01,-1,-1,01,-1,-1,-1,-1,01,NY,36,04,-1,-1,-1,02,-1,-1,01,05,0,14,-1,-1,02,06,01,2,0,72,01,01,01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,06,01,05,01,02,01,02,-1,-1,-1,-1,02,-1,-1,-1,-1,-1,-1,200806,02,03,U,30000,90,30000,5000,30000,90,30000,35620,5602
20001603,01,37,102.82667782,0,02,01,2,16,2,3,2,1,01,10,6,01,-1,74,07,03,-1,-1,-1,-1,-1,-1,-1,3,01,-1,01,-1,-1,03,-1,-1,-1,02,-1,-1,-1,01,-1,-1,-1,-1,01,TX,48,04,-1,-1,-1,02,-1,-1,04,06,0,21,-1,-1,02,06,01,0,3,68,01,02,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,03,04,06,02,02,02,01,-1,-1,-1,-1,02,-1,-1,10000,02,-1,-1,200808,01,01,TC,50,20,50,25,50,20,50,19100,-1
20001603,02,37,111.96256135,0,02,01,2,16,2,3,2,1,01,10,10,01,1,74,07,03,-1,-1,-1,-1,-1,-1,-1,-1,01,-1,01,-1,-1,03,-1,-1,-1,02,-1,01,-1,01,-1,6.2611689012,-1,02,01,TX,48,04,01,-1,-1,02,-1,-1,04,06,0,6,-1,-1,-1,01,01,-9,0,71,02,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,01,-1,30,-1,03,04,06,02,01,02,01,-1,01,02,48,01,07:30AM,04,20000,02,-1,9,200808,01,01,TC,50,20,50,25,50,20,50,19100,-1
20001649,01,27,795.9254679,0,02,01,2,17,2,3,2,0,01,10,8,01,-1,33,03,02,-1,-1,-1,-1,-1,-1,-1,1,01,-1,01,-1,-1,03,-1,-1,-1,04,-1,-1,-1,01,-1,-1,-1,-1,01,WI,55,04,-1,-1,-1,02,-1,-1,03,02,0,5,-1,-1,02,06,01,0,1,40,01,02,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,05,01,02,01,02,02,01,-1,-1,-1,-1,02,-1,-1,7000,02,-1,-1,200806,01,01,TC,300,20,300,750,300,30,750,XXXXX,XXXX
